prompt_id,session_id,category,tokens
P00001,S04531,Learning,119
P00002,S05637,Coding,87
P00003,S07283,Learning,381
P00004,S00173,Coding,570
P00005,S00940,Business,141
P00006,S01411,Business,620
P00007,S04602,Research,392
P00008,S03992,Image Generation,298
P00009,S04352,Learning,57
P00010,S06511,Image Generation,488
P00011,S03227,Learning,331
P00012,S07465,Business,459
P00013,S02091,Business,630
P00014,S05736,Image Generation,526
P00015,S05540,Learning,469
P00016,S03697,Business,381
P00017,S06515,Image Generation,427
P00018,S03442,Coding,467
P00019,S02947,Research,404
P00020,S06557,Learning,70
P00021,S02821,Writing,364
P00022,S03982,Image Generation,128
P00023,S02943,Learning,603
P00024,S06438,Image Generation,732
P00025,S02913,Research,566
P00026,S06994,Business,662
P00027,S04199,Research,267
P00028,S06176,Writing,161
P00029,S05666,Learning,242
P00030,S05791,Writing,504
P00031,S07200,Image Generation,760
P00032,S01185,Image Generation,444
P00033,S06770,Writing,469
P00034,S06835,Image Generation,761
P00035,S04289,Learning,676
P00036,S02802,Writing,442
P00037,S00615,Research,487
P00038,S00051,Learning,104
P00039,S04503,Learning,701
P00040,S04904,Business,734
P00041,S05600,Coding,229
P00042,S04340,Research,592
P00043,S05239,Writing,405
P00044,S02917,Writing,555
P00045,S01638,Business,60
P00046,S07050,Coding,220
P00047,S06058,Learning,657
P00048,S01266,Business,73
P00049,S07237,Writing,178
P00050,S07230,Image Generation,387
P00051,S00505,Coding,798
P00052,S07332,Learning,730
P00053,S00717,Writing,230
P00054,S04688,Learning,69
P00055,S07374,Coding,717
P00056,S06341,Writing,166
P00057,S00616,Business,469
P00058,S05029,Research,188
P00059,S07399,Coding,150
P00060,S05999,Coding,697
P00061,S04965,Research,403
P00062,S02928,Writing,197
P00063,S00270,Research,60
P00064,S00691,Research,654
P00065,S04610,Coding,645
P00066,S06194,Writing,108
P00067,S04002,Image Generation,319
P00068,S05411,Writing,435
P00069,S06367,Writing,171
P00070,S07161,Business,283
P00071,S00721,Learning,687
P00072,S04221,Writing,508
P00073,S01698,Research,665
P00074,S00508,Writing,342
P00075,S00555,Coding,151
P00076,S00475,Learning,120
P00077,S03790,Writing,322
P00078,S02215,Coding,52
P00079,S00028,Image Generation,585
P00080,S05205,Learning,272
P00081,S00258,Image Generation,126
P00082,S05402,Business,198
P00083,S04539,Writing,622
P00084,S01481,Coding,323
P00085,S02545,Coding,654
P00086,S03950,Image Generation,527
P00087,S05573,Learning,233
P00088,S01400,Coding,626
P00089,S03328,Image Generation,183
P00090,S03184,Coding,552
P00091,S06230,Image Generation,94
P00092,S00770,Business,800
P00093,S02548,Research,137
P00094,S02581,Image Generation,61
