session_id,user_id,tool_id,session_date,duration_min
S00001,U1871,T09,2023-06-17,134
S00002,U1617,T07,2024-01-22,56
S00003,U0546,T01,2023-10-20,121
S00004,U1439,T06,2023-07-12,69
S00005,U0988,T06,2024-09-26,9
S00006,U1046,T07,2025-07-20,72
S00007,U1396,T02,2023-01-26,73
S00008,U1744,T03,2024-04-18,157
S00009,U1522,T10,2025-02-27,6
S00010,U0968,T09,2023-12-25,61
S00011,U0491,T04,2023-07-12,54
S00012,U0946,T01,2025-04-27,92
S00013,U0591,T01,2025-08-12,167
S00014,U2446,T04,2023-05-05,163
S00015,U0141,T02,2023-03-15,53
S00016,U1448,T02,2025-02-10,151
S00017,U2447,T04,2024-10-14,105
S00018,U1193,T03,2024-08-21,84
S00019,U1144,T10,2025-01-12,63
S00020,U0902,T02,2025-02-12,41
S00021,U1475,T05,2024-12-21,157
S00022,U2159,T10,2024-12-30,18
S00023,U2147,T01,2023-07-05,116
S00024,U1389,T09,2024-12-31,143
S00025,U0987,T05,2025-11-29,78
S00026,U1583,T09,2026-01-21,87
S00027,U0684,T03,2026-01-04,30
S00028,U0622,T04,2024-09-11,116
S00029,U1729,T05,2025-10-28,165
S00030,U1499,T05,2025-06-25,119
S00031,U0232,T08,2026-02-21,110
S00032,U0002,T10,2023-09-11,81
S00033,U2053,T03,2023-05-30,33
S00034,U0980,T06,2025-07-06,98
S00035,U1186,T03,2024-07-22,176
S00036,U0420,T03,2025-09-28,89
S00037,U2243,T04,2024-12-22,14
S00038,U0229,T02,2024-01-12,132
S00039,U1864,T09,2023-07-11,108
S00040,U0251,T10,2023-11-04,23
S00041,U1245,T01,2025-07-28,67
S00042,U0946,T04,2023-09-25,146
S00043,U2379,T07,2023-09-28,153
S00044,U0611,T03,2024-12-25,177
S00045,U0230,T06,2023-03-02,179
S00046,U2033,T08,2023-07-08,13
S00047,U1836,T03,2025-02-22,170
S00048,U1089,T01,2023-03-19,139
S00049,U0156,T03,2024-03-31,162
S00050,U1156,T09,2023-09-01,152
S00051,U1249,T03,2023-03-15,156
S00052,U0439,T08,2023-11-01,70
S00053,U0473,T09,2023-06-22,178
S00054,U1348,T03,2024-04-17,63
S00055,U1378,T10,2025-06-20,94
S00056,U2320,T01,2026-03-09,21
S00057,U1119,T10,2026-01-31,52
S00058,U0060,T09,2025-01-27,157
S00059,U1206,T09,2023-12-15,165
S00060,U0047,T08,2026-02-03,47
S00061,U1486,T10,2025-10-29,98
S00062,U2263,T07,2025-10-20,125
S00063,U1412,T07,2023-07-20,178
S00064,U0310,T02,2024-04-13,88
S00065,U0846,T01,2023-05-03,156
S00066,U1443,T04,2025-05-04,101
S00067,U0212,T01,2025-06-04,155
S00068,U1138,T10,2025-02-06,23
S00069,U0424,T06,2024-01-03,94
S00070,U1591,T08,2023-11-22,49
S00071,U1718,T08,2024-01-23,11
S00072,U2050,T03,2024-02-10,175
S00073,U0752,T02,2023-02-23,27
S00074,U0782,T08,2024-06-11,20
S00075,U1633,T05,2025-05-13,65
S00076,U1852,T02,2023-05-23,59
S00077,U0852,T04,2023-03-04,49
S00078,U1687,T08,2025-06-19,89
S00079,U0729,T04,2025-05-11,28
S00080,U1562,T06,2025-01-11,27
S00081,U2119,T08,2025-12-20,178
S00082,U2285,T01,2024-02-06,76
S00083,U1462,T06,2023-02-27,53
S00084,U1008,T07,2024-10-26,99
S00085,U2485,T08,2025-08-05,33
S00086,U2261,T01,2024-03-04,92
S00087,U0317,T07,2024-06-01,176
S00088,U0998,T01,2024-09-29,29
S00089,U1275,T10,2023-10-30,115
S00090,U1480,T09,2023-06-20,83
S00091,U0296,T08,2025-09-06,46
S00092,U0981,T10,2023-01-03,141
S00093,U0122,T04,2024-03-07,88
S00094,U2447,T02,2026-04-08,104
S00095,U1681,T09,2025-02-13,175
S00096,U2334,T06,2025-02-14,117
S00097,U1154,T09,2024-12-31,53
S00098,U0574,T09,2024-09-02,143
S00099,U0389,T08,2024-12-18,106
S00100,U0757,T01,2023-06-23,131
S00101,U0246,T07,2023-11-13,153
S00102,U0562,T03,2025-11-17,22
S00103,U1612,T09,2024-01-31,138
S00104,U1607,T06,2025-04-28,49
S00105,U1667,T10,2024-07-16,64
S00106,U2421,T06,2025-11-30,7
S00107,U1200,T05,2025-10-23,73
S00108,U0598,T04,2025-08-11,14
S00109,U1110,T02,2023-06-29,18
S00110,U0273,T08,2023-10-05,129
S00111,U1893,T10,2025-03-08,62
S00112,U0218,T07,2023-12-14,18
S00113,U1191,T08,2023-04-02,44
S00114,U2062,T04,2024-03-02,165
S00115,U0661,T04,2023-09-16,9
S00116,U1540,T01,2025-04-09,161
S00117,U1507,T06,2024-11-14,43
S00118,U1320,T06,2025-12-25,91
S00119,U0241,T06,2025-07-17,46
S00120,U0381,T01,2023-02-24,129
S00121,U0425,T04,2025-03-09,164
S00122,U2158,T07,2023-08-13,72
S00123,U2116,T07,2023-03-31,122
S00124,U0887,T01,2026-02-05,5
S00125,U1202,T07,2023-05-11,90
S00126,U1415,T10,2025-04-02,20
S00127,U2485,T05,2023-09-27,57
S00128,U0054,T03,2025-07-03,18
S00129,U2322,T07,2023-08-12,146
S00130,U0134,T09,2023-12-11,171
S00131,U1888,T02,2023-01-24,145
S00132,U0036,T03,2024-04-07,5
S00133,U2179,T01,2025-11-10,169
S00134,U2426,T04,2025-06-10,32
S00135,U1996,T06,2024-11-14,46
S00136,U0872,T04,2023-06-21,172
S00137,U0892,T03,2024-09-08,28
S00138,U0323,T04,2023-09-22,24
S00139,U1843,T05,2025-01-09,68
S00140,U0578,T03,2026-04-12,66
S00141,U1740,T02,2025-01-31,140
S00142,U2185,T03,2023-05-04,143
S00143,U0178,T05,2023-01-14,147
S00144,U2400,T08,2025-05-02,54
S00145,U2426,T02,2024-12-23,90
S00146,U2052,T09,2024-06-13,47
S00147,U2369,T05,2024-08-30,129
S00148,U2087,T06,2025-10-29,170
S00149,U1753,T02,2023-04-09,21
S00150,U0261,T05,2025-05-12,169
S00151,U1583,T06,2024-11-03,152
