user_id,name,city,profession,signup_date
U0001,User 1,Bengaluru,Teacher,2023-05-10
U0002,User 2,Mumbai,Software Engineer,2025-10-11
U0003,User 3,Delhi,Designer,2025-02-16
U0004,User 4,Bengaluru,Software Engineer,2025-09-26
U0005,User 5,Hyderabad,Designer,2025-06-05
U0006,User 6,Vijayawada,Software Engineer,2025-07-01
U0007,User 7,Mumbai,Data Analyst,2023-07-29
U0008,User 8,Mumbai,Software Engineer,2023-02-15
U0009,User 9,Hyderabad,Teacher,2023-01-19
U0010,User 10,Delhi,Data Analyst,2025-05-14
U0011,User 11,Hyderabad,Teacher,2024-03-30
U0012,User 12,Delhi,Designer,2026-02-06
U0013,User 13,Bengaluru,Student,2024-04-17
U0014,User 14,Bengaluru,Designer,2024-08-16
U0015,User 15,Hyderabad,Designer,2026-02-13
U0016,User 16,Hyderabad,Data Analyst,2024-08-30
U0017,User 17,Hyderabad,Student,2025-10-22
U0018,User 18,Delhi,Teacher,2024-01-24
U0019,User 19,Mumbai,Student,2025-10-19
U0020,User 20,Vijayawada,Designer,2023-03-12
U0021,User 21,Delhi,Data Analyst,2025-04-07
U0022,User 22,Delhi,Data Analyst,2025-01-21
U0023,User 23,Vijayawada,Student,2023-06-27
U0024,User 24,Delhi,Teacher,2023-08-10
U0025,User 25,Bengaluru,Teacher,2025-03-16
U0026,User 26,Mumbai,Designer,2023-03-02
U0027,User 27,Delhi,Software Engineer,2024-09-23
U0028,User 28,Vijayawada,Teacher,2026-03-30
U0029,User 29,Delhi,Data Analyst,2023-12-12
U0030,User 30,Vijayawada,Data Analyst,2023-01-26
U0031,User 31,Bengaluru,Teacher,2026-01-27
U0032,User 32,Bengaluru,Designer,2025-11-18
U0033,User 33,Mumbai,Teacher,2024-12-24
U0034,User 34,Delhi,Student,2026-01-27
U0035,User 35,Vijayawada,Software Engineer,2025-02-24
U0036,User 36,Vijayawada,Data Analyst,2025-11-28
U0037,User 37,Vijayawada,Data Analyst,2025-05-22
U0038,User 38,Hyderabad,Designer,2025-01-16
U0039,User 39,Vijayawada,Teacher,2024-02-14
U0040,User 40,Vijayawada,Designer,2025-09-20
